sample_id,dataset_name,method,input_length,initial_kv_pages,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,delta_vs_static,gap_to_oracle_b,fraction_of_oracle_b_gain_closed
2wikimqa-145,2wikimqa,static,8192,512,10,64,55,5.5,4,0,0.0,1.625,0.0
2wikimqa-145,2wikimqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.9027777777777777,0.44444444444444453
2wikimqa-145,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,1.625,0.0,1.0
2wikimqa-151,2wikimqa,static,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.9027777777777777,0.0
2wikimqa-151,2wikimqa,best_static_oracle,8192,512,10,64,55,5.5,4,1,-0.7222222222222223,1.625,-0.8000000000000002
2wikimqa-151,2wikimqa,oracle_b,8192,512,8,64,57,7.125,6,0,0.9027777777777777,0.0,1.0
2wikimqa-172,2wikimqa,static,8192,512,10,64,55,5.5,4,0,0.0,0.7222222222222223,0.0
2wikimqa-172,2wikimqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.0,1.0
2wikimqa-172,2wikimqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,1,0.7222222222222223,0.0,1.0
2wikimqa-175,2wikimqa,static,8192,512,13,64,52,4,4,1,0,3.125,0.0
2wikimqa-175,2wikimqa,best_static_oracle,8192,512,10,64,55,5.5,4,0,1.5,1.625,0.48
2wikimqa-175,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,3.125,0.0,1.0
2wikimqa-190,2wikimqa,static,8192,512,10,64,55,5.5,5,0,0.0,1.625,0.0
2wikimqa-190,2wikimqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.7222222222222223,0.9027777777777777,0.44444444444444453
2wikimqa-190,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,1.625,0.0,1.0
2wikimqa-42,2wikimqa,static,8192,512,11,64,54,4.909090909090909,2,0,0.0,1.3131313131313131,0.0
2wikimqa-42,2wikimqa,best_static_oracle,8192,512,10,64,55,5.5,4,0,0.5909090909090908,0.7222222222222223,0.44999999999999996
2wikimqa-42,2wikimqa,oracle_b,8192,512,9,64,56,6.222222222222222,6,0,1.3131313131313131,0.0,1.0
2wikimqa-76,2wikimqa,static,8192,512,9,64,56,6.222222222222222,3,0,0.0,0.9027777777777777,0.0
2wikimqa-76,2wikimqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.9027777777777777,0.0
2wikimqa-76,2wikimqa,oracle_b,8192,512,8,64,57,7.125,6,0,0.9027777777777777,0.0,1.0
2wikimqa-83,2wikimqa,static,8192,512,11,64,54,4.909090909090909,1,0,0.0,2.215909090909091,0.0
2wikimqa-83,2wikimqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,5,0,1.3131313131313131,0.9027777777777777,0.5925925925925927
2wikimqa-83,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,2.215909090909091,0.0,1.0
2wikimqa-87,2wikimqa,static,8192,512,11,64,54,4.909090909090909,4,0,0.0,2.215909090909091,0.0
2wikimqa-87,2wikimqa,best_static_oracle,8192,512,10,64,55,5.5,5,0,0.5909090909090908,1.625,0.26666666666666666
2wikimqa-87,2wikimqa,oracle_b,8192,512,8,64,57,7.125,6,0,2.215909090909091,0.0,1.0
2wikimqa-88,2wikimqa,static,8192,512,13,64,52,4,3,0,0,2.2222222222222223,0.0
2wikimqa-88,2wikimqa,best_static_oracle,8192,512,10,64,55,5.5,5,0,1.5,0.7222222222222223,0.6749999999999999
2wikimqa-88,2wikimqa,oracle_b,8192,512,9,64,56,6.222222222222222,6,1,2.2222222222222223,0.0,1.0
hotpotqa-112,hotpotqa,static,8192,512,10,64,55,5.5,3,0,0.0,0.7222222222222223,0.0
hotpotqa-112,hotpotqa,best_static_oracle,8192,512,10,64,55,5.5,4,1,0.0,0.7222222222222223,0.0
hotpotqa-112,hotpotqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,1,0.7222222222222223,0.0,1.0
hotpotqa-116,hotpotqa,static,8192,512,16,64,49,3.0625,2,1,0.0,1.8465909090909092,0.0
hotpotqa-116,hotpotqa,best_static_oracle,8192,512,13,64,52,4,1,0,0.9375,0.9090909090909092,0.5076923076923077
hotpotqa-116,hotpotqa,oracle_b,8192,512,11,64,54,4.909090909090909,3,0,1.8465909090909092,0.0,1.0
hotpotqa-123,hotpotqa,static,8192,512,13,64,52,4,3,1,0,3,0.0
hotpotqa-123,hotpotqa,best_static_oracle,8192,512,10,64,55,5.5,4,0,1.5,1.5,0.5
hotpotqa-123,hotpotqa,oracle_b,8192,512,8,64,56,7,7,1,3,0,1.0
hotpotqa-141,hotpotqa,static,8192,512,11,64,54,4.909090909090909,4,1,0.0,2.090909090909091,0.0
hotpotqa-141,hotpotqa,best_static_oracle,8192,512,10,64,55,5.5,4,1,0.5909090909090908,1.5,0.2826086956521739
hotpotqa-141,hotpotqa,oracle_b,8192,512,8,64,56,7,7,1,2.090909090909091,0,1.0
hotpotqa-151,hotpotqa,static,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.9027777777777777,0.0
hotpotqa-151,hotpotqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.0,0.9027777777777777,0.0
hotpotqa-151,hotpotqa,oracle_b,8192,512,8,64,57,7.125,7,0,0.9027777777777777,0.0,1.0
hotpotqa-186,hotpotqa,static,8192,512,10,64,55,5.5,3,0,0.0,0.6111111111111107,0.0
hotpotqa-186,hotpotqa,best_static_oracle,8192,512,10,64,54,5.4,4,1,-0.09999999999999964,0.7111111111111104,-0.16363636363636316
hotpotqa-186,hotpotqa,oracle_b,8192,512,9,64,55,6.111111111111111,6,1,0.6111111111111107,0.0,1.0
hotpotqa-188,hotpotqa,static,8192,512,10,64,54,5.4,4,0,0.0,1.7249999999999996,0.0
hotpotqa-188,hotpotqa,best_static_oracle,8192,512,9,64,56,6.222222222222222,4,0,0.822222222222222,0.9027777777777777,0.4766505636070853
hotpotqa-188,hotpotqa,oracle_b,8192,512,8,64,57,7.125,6,0,1.7249999999999996,0.0,1.0
