method,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
static,1,563,546,0.9698046181172292
static,2,541,454,0.8391866913123844
static,3,451,413,0.9157427937915743
static,4,405,360,0.8888888888888888
static,5,355,306,0.8619718309859155
static,6,291,259,0.8900343642611683
static,7,257,189,0.7354085603112841
static,8,183,156,0.8524590163934426
best_static_oracle,1,504,492,0.9761904761904762
best_static_oracle,2,491,421,0.8574338085539714
best_static_oracle,3,419,401,0.9570405727923628
best_static_oracle,4,395,375,0.9493670886075949
best_static_oracle,5,369,344,0.9322493224932249
best_static_oracle,6,323,298,0.9226006191950464
best_static_oracle,7,294,223,0.7585034013605442
best_static_oracle,8,220,187,0.85
oracle_b,1,430,420,0.9767441860465116
oracle_b,2,410,395,0.9634146341463414
oracle_b,3,391,381,0.9744245524296675
oracle_b,4,372,362,0.9731182795698925
oracle_b,5,356,343,0.9634831460674157
oracle_b,6,340,329,0.9676470588235294
oracle_b,7,326,296,0.9079754601226994
oracle_b,8,293,287,0.9795221843003413
