method,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
static,1,18,16,0.8888888888888888
static,2,16,11,0.6875
static,3,10,9,0.9
static,4,9,9,1.0
static,5,9,6,0.6666666666666666
static,6,6,5,0.8333333333333334
static,7,4,4,1.0
static,8,4,4,1.0
best_static_oracle,1,16,15,0.9375
best_static_oracle,2,15,10,0.6666666666666666
best_static_oracle,3,10,10,1.0
best_static_oracle,4,10,10,1.0
best_static_oracle,5,10,8,0.8
best_static_oracle,6,6,6,1.0
best_static_oracle,7,5,4,0.8
best_static_oracle,8,4,4,1.0
oracle_b,1,12,12,1.0
oracle_b,2,12,12,1.0
oracle_b,3,12,10,0.8333333333333334
oracle_b,4,10,9,0.9
oracle_b,5,9,9,1.0
oracle_b,6,9,9,1.0
oracle_b,7,8,7,0.875
oracle_b,8,4,4,1.0
