sample_id,dataset_name,round_start_step,layer,head,horizon,prefix_tokens,budget_ratio,budget_tokens,union_tokens,union_over_terminal_budget,union_fraction_of_prefix,mean_terminal_set_recall_across_queries,terminal_selection_attention_recovery_across_round,mean_oracle_attention_mass
71,aime2024,8,0,0,8,87,0.1,9,21,2.3333333333333335,0.2413793103448276,0.6944444589316845,0.911929952572054,0.418243408203125
71,aime2024,8,0,8,8,87,0.1,9,37,4.111111111111111,0.42528735632183906,0.3888888955116272,0.4021125789904186,0.19762468338012695
71,aime2024,8,0,16,8,87,0.1,9,20,2.2222222222222223,0.22988505747126436,0.7638889029622078,0.8820644431065795,0.33503150939941406
71,aime2024,8,0,24,8,87,0.1,9,22,2.4444444444444446,0.25287356321839083,0.486111119389534,0.8028718962500899,0.424102783203125
71,aime2024,8,6,0,8,87,0.1,9,22,2.4444444444444446,0.25287356321839083,0.5555555634200573,0.901300014505452,0.6508846282958984
71,aime2024,8,6,8,8,87,0.1,9,31,3.4444444444444446,0.3563218390804598,0.486111119389534,0.63042575489924,0.71478271484375
71,aime2024,8,6,16,8,87,0.1,9,22,2.4444444444444446,0.25287356321839083,0.6111111203208566,0.7641585084183216,0.6160469055175781
71,aime2024,8,6,24,8,87,0.1,9,20,2.2222222222222223,0.22988505747126436,0.5833333432674408,0.7548167403255978,0.5855355262756348
71,aime2024,8,12,0,8,87,0.1,9,44,4.888888888888889,0.5057471264367817,0.3194444486871362,0.9615414334171963,0.5507745742797852
71,aime2024,8,12,8,8,87,0.1,9,25,2.7777777777777777,0.28735632183908044,0.41666666977107525,0.6797202569077911,0.4965248107910156
71,aime2024,8,12,16,8,87,0.1,9,16,1.7777777777777777,0.1839080459770115,0.791666679084301,0.9522208303114217,0.6942901611328125
71,aime2024,8,12,24,8,87,0.1,9,39,4.333333333333333,0.4482758620689655,0.2777777789160609,0.7188626076274375,0.8617210388183594
71,aime2024,8,18,0,8,87,0.1,9,19,2.111111111111111,0.21839080459770116,0.7500000149011612,0.9690369409683721,0.7224655151367188
71,aime2024,8,18,8,8,87,0.1,9,32,3.5555555555555554,0.367816091954023,0.36111111380159855,0.787471702689592,0.7077407836914062
71,aime2024,8,18,16,8,87,0.1,9,31,3.4444444444444446,0.3563218390804598,0.3888888917863369,0.518627163039214,0.44728851318359375
71,aime2024,8,18,24,8,87,0.1,9,33,3.6666666666666665,0.3793103448275862,0.486111119389534,0.681812649667114,0.5798492431640625
71,aime2024,8,24,0,8,87,0.1,9,27,3.0,0.3103448275862069,0.5000000093132257,0.9895025576190489,0.7325378656387329
