sample_id,dataset_name,method,input_length,num_kv_pages,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,delta_mean_accepted_oracle_minus_static
2wikimqa-145,2wikimqa,static,8192,512,10,64,55,5.5,4,0,1.625
2wikimqa-145,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,1.625
2wikimqa-151,2wikimqa,static,8192,512,9,64,56,6.222222222222222,4,0,0.9027777777777777
2wikimqa-151,2wikimqa,oracle_b,8192,512,8,64,57,7.125,6,0,0.9027777777777777
2wikimqa-172,2wikimqa,static,8192,512,10,64,55,5.5,4,0,0.7222222222222223
2wikimqa-172,2wikimqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,1,0.7222222222222223
2wikimqa-175,2wikimqa,static,8192,512,13,64,52,4,4,1,3.125
2wikimqa-175,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,3.125
2wikimqa-190,2wikimqa,static,8192,512,10,64,55,5.5,5,0,1.625
2wikimqa-190,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,1.625
2wikimqa-42,2wikimqa,static,8192,512,11,64,54,4.909090909090909,2,0,1.3131313131313131
2wikimqa-42,2wikimqa,oracle_b,8192,512,9,64,56,6.222222222222222,6,0,1.3131313131313131
2wikimqa-76,2wikimqa,static,8192,512,9,64,56,6.222222222222222,3,0,0.9027777777777777
2wikimqa-76,2wikimqa,oracle_b,8192,512,8,64,57,7.125,6,0,0.9027777777777777
2wikimqa-83,2wikimqa,static,8192,512,11,64,54,4.909090909090909,1,0,2.215909090909091
2wikimqa-83,2wikimqa,oracle_b,8192,512,8,64,57,7.125,7,0,2.215909090909091
2wikimqa-87,2wikimqa,static,8192,512,11,64,54,4.909090909090909,4,0,2.215909090909091
2wikimqa-87,2wikimqa,oracle_b,8192,512,8,64,57,7.125,6,0,2.215909090909091
2wikimqa-88,2wikimqa,static,8192,512,13,64,52,4,3,0,2.2222222222222223
2wikimqa-88,2wikimqa,oracle_b,8192,512,9,64,56,6.222222222222222,6,1,2.2222222222222223
hotpotqa-112,hotpotqa,static,8192,512,10,64,55,5.5,3,0,0.7222222222222223
hotpotqa-112,hotpotqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,1,0.7222222222222223
hotpotqa-116,hotpotqa,static,8192,512,16,64,49,3.0625,2,1,1.8465909090909092
hotpotqa-116,hotpotqa,oracle_b,8192,512,11,64,54,4.909090909090909,3,0,1.8465909090909092
hotpotqa-123,hotpotqa,static,8192,512,13,64,52,4,3,1,3
hotpotqa-123,hotpotqa,oracle_b,8192,512,8,64,56,7,7,1,3
hotpotqa-141,hotpotqa,static,8192,512,11,64,54,4.909090909090909,4,1,2.090909090909091
hotpotqa-141,hotpotqa,oracle_b,8192,512,8,64,56,7,7,1,2.090909090909091
hotpotqa-151,hotpotqa,static,8192,512,9,64,56,6.222222222222222,4,0,0.9027777777777777
hotpotqa-151,hotpotqa,oracle_b,8192,512,8,64,57,7.125,7,0,0.9027777777777777
hotpotqa-186,hotpotqa,static,8192,512,10,64,55,5.5,3,0,0.6111111111111107
hotpotqa-186,hotpotqa,oracle_b,8192,512,9,64,55,6.111111111111111,6,1,0.6111111111111107
hotpotqa-188,hotpotqa,static,8192,512,10,64,54,5.4,4,0,1.7249999999999996
hotpotqa-188,hotpotqa,oracle_b,8192,512,8,64,57,7.125,6,0,1.7249999999999996
hotpotqa-63,hotpotqa,static,8192,512,13,64,52,4,4,1,2.2222222222222223
hotpotqa-63,hotpotqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,2.2222222222222223
hotpotqa-93,hotpotqa,static,8192,512,9,64,55,6.111111111111111,4,0,1.0138888888888893
hotpotqa-93,hotpotqa,oracle_b,8192,512,8,64,57,7.125,6,0,1.0138888888888893
hotpotqa-96,hotpotqa,static,8192,512,12,64,53,4.416666666666667,3,0,1.8055555555555554
hotpotqa-96,hotpotqa,oracle_b,8192,512,9,64,56,6.222222222222222,5,0,1.8055555555555554
multifieldqa_en-11,multifieldqa_en,static,8192,512,12,64,53,4.416666666666667,2,1,1.083333333333333
multifieldqa_en-11,multifieldqa_en,oracle_b,8192,512,10,64,55,5.5,5,1,1.083333333333333
multifieldqa_en-114,multifieldqa_en,static,8192,512,13,64,52,4,3,0,1.5
multifieldqa_en-114,multifieldqa_en,oracle_b,8192,512,10,64,55,5.5,6,0,1.5
multifieldqa_en-125,multifieldqa_en,static,8192,512,9,64,56,6.222222222222222,4,0,0.9027777777777777
multifieldqa_en-125,multifieldqa_en,oracle_b,8192,512,8,64,57,7.125,7,0,0.9027777777777777
multifieldqa_en-18,multifieldqa_en,static,8192,512,13,64,52,4,2,0,2.2222222222222223
