method,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
static,1,563,546,0.9698046181172292
static,2,541,454,0.8391866913123844
static,3,451,413,0.9157427937915743
static,4,405,360,0.8888888888888888
static,5,355,306,0.8619718309859155
static,6,291,259,0.8900343642611683
static,7,257,189,0.7354085603112841
static,8,183,156,0.8524590163934426
oracle_b,1,430,420,0.9767441860465116
oracle_b,2,410,395,0.9634146341463414
oracle_b,3,391,381,0.9744245524296675
oracle_b,4,372,362,0.9731182795698925
oracle_b,5,356,343,0.9634831460674157
oracle_b,6,340,329,0.9676470588235294
oracle_b,7,326,296,0.9079754601226994
oracle_b,8,293,287,0.9795221843003413
