method,result_source,accepted_length,rounds,ratio
static,reused_reference,0,17,0.03019538188277087
static,reused_reference,1,92,0.16341030195381884
static,reused_reference,2,41,0.07282415630550622
static,reused_reference,3,53,0.0941385435168739
static,reused_reference,4,54,0.09591474245115453
static,reused_reference,5,47,0.08348134991119005
static,reused_reference,6,70,0.12433392539964476
static,reused_reference,7,33,0.0586145648312611
static,reused_reference,8,156,0.27708703374777977
best_static_oracle,reused_reference,0,12,0.023809523809523808
best_static_oracle,reused_reference,1,71,0.14087301587301587
best_static_oracle,reused_reference,2,20,0.03968253968253968
best_static_oracle,reused_reference,3,26,0.051587301587301584
best_static_oracle,reused_reference,4,31,0.061507936507936505
best_static_oracle,reused_reference,5,46,0.09126984126984126
best_static_oracle,reused_reference,6,75,0.1488095238095238
best_static_oracle,reused_reference,7,36,0.07142857142857142
best_static_oracle,reused_reference,8,187,0.37103174603174605
oracle_b,reused_reference,0,10,0.023255813953488372
oracle_b,reused_reference,1,25,0.05813953488372093
oracle_b,reused_reference,2,14,0.03255813953488372
oracle_b,reused_reference,3,19,0.044186046511627906
oracle_b,reused_reference,4,19,0.044186046511627906
oracle_b,reused_reference,5,14,0.03255813953488372
oracle_b,reused_reference,6,33,0.07674418604651163
oracle_b,reused_reference,7,9,0.020930232558139535
oracle_b,reused_reference,8,287,0.6674418604651163
page_incremental_r0.01,current_run,0,18,0.04044943820224719
page_incremental_r0.01,current_run,1,21,0.04719101123595506
page_incremental_r0.01,current_run,2,15,0.033707865168539325
page_incremental_r0.01,current_run,3,22,0.04943820224719101
page_incremental_r0.01,current_run,4,20,0.0449438202247191
page_incremental_r0.01,current_run,5,30,0.06741573033707865
page_incremental_r0.01,current_run,6,43,0.09662921348314607
page_incremental_r0.01,current_run,7,16,0.035955056179775284
page_incremental_r0.01,current_run,8,260,0.5842696629213483
page_incremental_r0.05,current_run,0,17,0.038461538461538464
page_incremental_r0.05,current_run,1,26,0.058823529411764705
page_incremental_r0.05,current_run,2,16,0.03619909502262444
page_incremental_r0.05,current_run,3,22,0.049773755656108594
page_incremental_r0.05,current_run,4,18,0.04072398190045249
page_incremental_r0.05,current_run,5,20,0.04524886877828054
page_incremental_r0.05,current_run,6,32,0.07239819004524888
page_incremental_r0.05,current_run,7,16,0.03619909502262444
page_incremental_r0.05,current_run,8,275,0.6221719457013575
page_incremental_r0.1,current_run,0,17,0.03854875283446712
page_incremental_r0.1,current_run,1,21,0.047619047619047616
page_incremental_r0.1,current_run,2,13,0.02947845804988662
page_incremental_r0.1,current_run,3,29,0.06575963718820861
page_incremental_r0.1,current_run,4,24,0.05442176870748299
page_incremental_r0.1,current_run,5,16,0.036281179138321996
page_incremental_r0.1,current_run,6,33,0.07482993197278912
page_incremental_r0.1,current_run,7,11,0.024943310657596373
page_incremental_r0.1,current_run,8,277,0.6281179138321995
page_incremental_r0.2,current_run,0,15,0.034403669724770644
page_incremental_r0.2,current_run,1,25,0.05733944954128441
page_incremental_r0.2,current_run,2,15,0.034403669724770644
page_incremental_r0.2,current_run,3,18,0.04128440366972477
page_incremental_r0.2,current_run,4,20,0.045871559633027525
page_incremental_r0.2,current_run,5,14,0.03211009174311927
page_incremental_r0.2,current_run,6,37,0.08486238532110092
page_incremental_r0.2,current_run,7,9,0.020642201834862386
page_incremental_r0.2,current_run,8,283,0.6490825688073395
