method,result_source,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
static,reused_reference,1,563,546,0.9698046181172292
static,reused_reference,2,541,454,0.8391866913123844
static,reused_reference,3,451,413,0.9157427937915743
static,reused_reference,4,405,360,0.8888888888888888
static,reused_reference,5,355,306,0.8619718309859155
static,reused_reference,6,291,259,0.8900343642611683
static,reused_reference,7,257,189,0.7354085603112841
static,reused_reference,8,183,156,0.8524590163934426
best_static_oracle,reused_reference,1,504,492,0.9761904761904762
best_static_oracle,reused_reference,2,491,421,0.8574338085539714
best_static_oracle,reused_reference,3,419,401,0.9570405727923628
best_static_oracle,reused_reference,4,395,375,0.9493670886075949
best_static_oracle,reused_reference,5,369,344,0.9322493224932249
best_static_oracle,reused_reference,6,323,298,0.9226006191950464
best_static_oracle,reused_reference,7,294,223,0.7585034013605442
best_static_oracle,reused_reference,8,220,187,0.85
oracle_b,reused_reference,1,430,420,0.9767441860465116
oracle_b,reused_reference,2,410,395,0.9634146341463414
oracle_b,reused_reference,3,391,381,0.9744245524296675
oracle_b,reused_reference,4,372,362,0.9731182795698925
oracle_b,reused_reference,5,356,343,0.9634831460674157
oracle_b,reused_reference,6,340,329,0.9676470588235294
oracle_b,reused_reference,7,326,296,0.9079754601226994
oracle_b,reused_reference,8,293,287,0.9795221843003413
page_incremental_r0.01,current_run,1,445,427,0.9595505617977528
page_incremental_r0.01,current_run,2,420,406,0.9666666666666667
page_incremental_r0.01,current_run,3,404,391,0.9678217821782178
page_incremental_r0.01,current_run,4,383,369,0.9634464751958225
page_incremental_r0.01,current_run,5,363,349,0.9614325068870524
page_incremental_r0.01,current_run,6,341,319,0.9354838709677419
page_incremental_r0.01,current_run,7,316,276,0.8734177215189873
page_incremental_r0.01,current_run,8,273,260,0.9523809523809523
page_incremental_r0.05,current_run,1,442,425,0.9615384615384616
page_incremental_r0.05,current_run,2,416,399,0.9591346153846154
page_incremental_r0.05,current_run,3,396,383,0.9671717171717171
page_incremental_r0.05,current_run,4,374,361,0.9652406417112299
page_incremental_r0.05,current_run,5,358,343,0.9581005586592178
page_incremental_r0.05,current_run,6,339,323,0.9528023598820059
page_incremental_r0.05,current_run,7,320,291,0.909375
page_incremental_r0.05,current_run,8,287,275,0.9581881533101045
page_incremental_r0.1,current_run,1,441,424,0.9614512471655329
page_incremental_r0.1,current_run,2,416,403,0.96875
page_incremental_r0.1,current_run,3,402,390,0.9701492537313433
page_incremental_r0.1,current_run,4,379,361,0.9525065963060686
page_incremental_r0.1,current_run,5,357,337,0.9439775910364145
page_incremental_r0.1,current_run,6,332,321,0.9668674698795181
page_incremental_r0.1,current_run,7,318,288,0.9056603773584906
page_incremental_r0.1,current_run,8,285,277,0.9719298245614035
page_incremental_r0.2,current_run,1,436,421,0.9655963302752294
page_incremental_r0.2,current_run,2,411,396,0.9635036496350365
page_incremental_r0.2,current_run,3,390,381,0.9769230769230769
page_incremental_r0.2,current_run,4,374,363,0.9705882352941176
page_incremental_r0.2,current_run,5,358,343,0.9581005586592178
page_incremental_r0.2,current_run,6,339,329,0.9705014749262537
page_incremental_r0.2,current_run,7,325,292,0.8984615384615384
page_incremental_r0.2,current_run,8,290,283,0.9758620689655172
