method,result_source,accepted_length,rounds,ratio
static,reused_reference,0,2,0.1111111111111111
static,reused_reference,1,5,0.2777777777777778
static,reused_reference,2,2,0.1111111111111111
static,reused_reference,3,0,0.0
static,reused_reference,4,3,0.16666666666666666
static,reused_reference,5,1,0.05555555555555555
static,reused_reference,6,1,0.05555555555555555
static,reused_reference,7,0,0.0
static,reused_reference,8,4,0.2222222222222222
best_static_oracle,reused_reference,0,1,0.0625
best_static_oracle,reused_reference,1,5,0.3125
best_static_oracle,reused_reference,2,0,0.0
best_static_oracle,reused_reference,3,0,0.0
best_static_oracle,reused_reference,4,2,0.125
best_static_oracle,reused_reference,5,2,0.125
best_static_oracle,reused_reference,6,2,0.125
best_static_oracle,reused_reference,7,0,0.0
best_static_oracle,reused_reference,8,4,0.25
oracle_b,reused_reference,0,0,0.0
oracle_b,reused_reference,1,0,0.0
oracle_b,reused_reference,2,2,0.16666666666666666
oracle_b,reused_reference,3,1,0.08333333333333333
oracle_b,reused_reference,4,0,0.0
oracle_b,reused_reference,5,0,0.0
oracle_b,reused_reference,6,2,0.16666666666666666
oracle_b,reused_reference,7,3,0.25
oracle_b,reused_reference,8,4,0.3333333333333333
page_incremental_r0.01,current_run,0,1,0.07142857142857142
page_incremental_r0.01,current_run,1,1,0.07142857142857142
page_incremental_r0.01,current_run,2,1,0.07142857142857142
page_incremental_r0.01,current_run,3,3,0.21428571428571427
page_incremental_r0.01,current_run,4,0,0.0
page_incremental_r0.01,current_run,5,0,0.0
page_incremental_r0.01,current_run,6,4,0.2857142857142857
page_incremental_r0.01,current_run,7,0,0.0
page_incremental_r0.01,current_run,8,4,0.2857142857142857
page_incremental_r0.05,current_run,0,1,0.07692307692307693
page_incremental_r0.05,current_run,1,1,0.07692307692307693
page_incremental_r0.05,current_run,2,1,0.07692307692307693
page_incremental_r0.05,current_run,3,1,0.07692307692307693
page_incremental_r0.05,current_run,4,0,0.0
page_incremental_r0.05,current_run,5,0,0.0
page_incremental_r0.05,current_run,6,3,0.23076923076923078
page_incremental_r0.05,current_run,7,2,0.15384615384615385
page_incremental_r0.05,current_run,8,4,0.3076923076923077
page_incremental_r0.1,current_run,0,1,0.07692307692307693
page_incremental_r0.1,current_run,1,1,0.07692307692307693
page_incremental_r0.1,current_run,2,1,0.07692307692307693
page_incremental_r0.1,current_run,3,1,0.07692307692307693
page_incremental_r0.1,current_run,4,0,0.0
page_incremental_r0.1,current_run,5,0,0.0
page_incremental_r0.1,current_run,6,3,0.23076923076923078
page_incremental_r0.1,current_run,7,2,0.15384615384615385
page_incremental_r0.1,current_run,8,4,0.3076923076923077
page_incremental_r0.2,current_run,0,1,0.07692307692307693
page_incremental_r0.2,current_run,1,1,0.07692307692307693
page_incremental_r0.2,current_run,2,1,0.07692307692307693
page_incremental_r0.2,current_run,3,1,0.07692307692307693
page_incremental_r0.2,current_run,4,0,0.0
page_incremental_r0.2,current_run,5,0,0.0
page_incremental_r0.2,current_run,6,3,0.23076923076923078
page_incremental_r0.2,current_run,7,2,0.15384615384615385
page_incremental_r0.2,current_run,8,4,0.3076923076923077
