sample_id,dataset_name,method,input_length,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,reference_static_mean,reference_best_static_mean,reference_oracle_b_mean,delta_vs_static,gap_to_oracle_b,fraction_of_oracle_b_gain_closed
2wikimqa-83,2wikimqa,page_incremental_r0.01,8192,3,16,14,4.666666666666667,1,0,3.25,4.666666666666667,7.5,1.416666666666667,2.833333333333333,0.3333333333333334
2wikimqa-83,2wikimqa,page_incremental_r0.05,8192,2,16,15,7.5,1,0,3.25,4.666666666666667,7.5,4.25,0.0,1.0
2wikimqa-83,2wikimqa,page_incremental_r0.1,8192,2,16,15,7.5,1,0,3.25,4.666666666666667,7.5,4.25,0.0,1.0
2wikimqa-83,2wikimqa,page_incremental_r0.2,8192,2,16,15,7.5,1,0,3.25,4.666666666666667,7.5,4.25,0.0,1.0
hotpotqa-141,hotpotqa,page_incremental_r0.01,8192,2,16,14,7,1,0,4.333333333333333,4.666666666666667,7.5,2.666666666666667,0.5,0.8421052631578948
hotpotqa-141,hotpotqa,page_incremental_r0.05,8192,2,16,15,7.5,1,0,4.333333333333333,4.666666666666667,7.5,3.166666666666667,0.0,1.0
hotpotqa-141,hotpotqa,page_incremental_r0.1,8192,2,16,15,7.5,1,0,4.333333333333333,4.666666666666667,7.5,3.166666666666667,0.0,1.0
hotpotqa-141,hotpotqa,page_incremental_r0.2,8192,2,16,15,7.5,1,0,4.333333333333333,4.666666666666667,7.5,3.166666666666667,0.0,1.0
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.01,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.5,2.666666666666667,0.5,0.8421052631578948
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.05,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.5,2.666666666666667,0.5,0.8421052631578948
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.1,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.5,2.666666666666667,0.5,0.8421052631578948
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.2,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.5,2.666666666666667,0.5,0.8421052631578948
musique-23,musique,page_incremental_r0.01,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.0,2.666666666666667,0.0,1.0
musique-23,musique,page_incremental_r0.05,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.0,2.666666666666667,0.0,1.0
musique-23,musique,page_incremental_r0.1,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.0,2.666666666666667,0.0,1.0
musique-23,musique,page_incremental_r0.2,8192,2,16,14,7,1,0,4.333333333333333,4.333333333333333,7.0,2.666666666666667,0.0,1.0
qasper-178,qasper,page_incremental_r0.01,8192,5,16,12,2.4,0,1,2.4,3.25,3.25,0.0,0.8500000000000001,0.0
qasper-178,qasper,page_incremental_r0.05,8192,5,16,12,2.4,0,1,2.4,3.25,3.25,0.0,0.8500000000000001,0.0
qasper-178,qasper,page_incremental_r0.1,8192,5,16,12,2.4,0,1,2.4,3.25,3.25,0.0,0.8500000000000001,0.0
qasper-178,qasper,page_incremental_r0.2,8192,5,16,12,2.4,0,1,2.4,3.25,3.25,0.0,0.8500000000000001,0.0
