method,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
oracle_incremental_r0.01,1,424,415,0.9787735849056604
oracle_incremental_r0.01,2,403,396,0.9826302729528535
oracle_incremental_r0.01,3,394,379,0.9619289340101523
oracle_incremental_r0.01,4,369,359,0.9728997289972899
oracle_incremental_r0.01,5,357,343,0.9607843137254902
oracle_incremental_r0.01,6,337,325,0.9643916913946587
oracle_incremental_r0.01,7,322,305,0.9472049689440993
oracle_incremental_r0.01,8,301,297,0.9867109634551495
oracle_incremental_r0.02,1,427,419,0.9812646370023419
oracle_incremental_r0.02,2,410,398,0.9707317073170731
oracle_incremental_r0.02,3,395,381,0.9645569620253165
oracle_incremental_r0.02,4,372,362,0.9731182795698925
oracle_incremental_r0.02,5,360,343,0.9527777777777777
oracle_incremental_r0.02,6,336,322,0.9583333333333334
oracle_incremental_r0.02,7,318,301,0.9465408805031447
oracle_incremental_r0.02,8,297,290,0.9764309764309764
oracle_incremental_r0.05,1,424,416,0.9811320754716981
oracle_incremental_r0.05,2,407,396,0.972972972972973
oracle_incremental_r0.05,3,394,379,0.9619289340101523
oracle_incremental_r0.05,4,372,363,0.9758064516129032
oracle_incremental_r0.05,5,359,346,0.9637883008356546
oracle_incremental_r0.05,6,338,327,0.9674556213017751
oracle_incremental_r0.05,7,321,301,0.9376947040498442
oracle_incremental_r0.05,8,297,292,0.9831649831649831
oracle_incremental_r0.1,1,424,415,0.9787735849056604
oracle_incremental_r0.1,2,404,397,0.9826732673267327
oracle_incremental_r0.1,3,395,382,0.9670886075949368
oracle_incremental_r0.1,4,371,362,0.9757412398921833
oracle_incremental_r0.1,5,360,347,0.9638888888888889
oracle_incremental_r0.1,6,340,327,0.961764705882353
oracle_incremental_r0.1,7,321,300,0.9345794392523364
oracle_incremental_r0.1,8,297,291,0.9797979797979798
oracle_incremental_r0.2,1,421,411,0.9762470308788599
oracle_incremental_r0.2,2,397,389,0.9798488664987406
oracle_incremental_r0.2,3,387,376,0.9715762273901809
oracle_incremental_r0.2,4,369,363,0.983739837398374
oracle_incremental_r0.2,5,359,349,0.9721448467966574
oracle_incremental_r0.2,6,342,332,0.9707602339181286
oracle_incremental_r0.2,7,329,306,0.9300911854103343
oracle_incremental_r0.2,8,303,297,0.9801980198019802
