method,draft_position,eligible_rounds,accepted_rounds,conditional_acceptance_rate
oracle_incremental_r0.01,1,12,12,1.0
oracle_incremental_r0.01,2,12,12,1.0
oracle_incremental_r0.01,3,12,10,0.8333333333333334
oracle_incremental_r0.01,4,10,9,0.9
oracle_incremental_r0.01,5,9,9,1.0
oracle_incremental_r0.01,6,9,9,1.0
oracle_incremental_r0.01,7,8,8,1.0
oracle_incremental_r0.01,8,4,4,1.0
oracle_incremental_r0.02,1,12,12,1.0
oracle_incremental_r0.02,2,12,12,1.0
oracle_incremental_r0.02,3,12,10,0.8333333333333334
oracle_incremental_r0.02,4,10,9,0.9
oracle_incremental_r0.02,5,9,9,1.0
oracle_incremental_r0.02,6,9,9,1.0
oracle_incremental_r0.02,7,8,8,1.0
oracle_incremental_r0.02,8,4,4,1.0
oracle_incremental_r0.05,1,12,12,1.0
oracle_incremental_r0.05,2,12,12,1.0
oracle_incremental_r0.05,3,12,10,0.8333333333333334
oracle_incremental_r0.05,4,10,9,0.9
oracle_incremental_r0.05,5,9,9,1.0
oracle_incremental_r0.05,6,9,9,1.0
oracle_incremental_r0.05,7,8,8,1.0
oracle_incremental_r0.05,8,4,4,1.0
oracle_incremental_r0.1,1,13,13,1.0
oracle_incremental_r0.1,2,13,13,1.0
oracle_incremental_r0.1,3,12,10,0.8333333333333334
oracle_incremental_r0.1,4,10,9,0.9
oracle_incremental_r0.1,5,9,8,0.8888888888888888
oracle_incremental_r0.1,6,8,8,1.0
oracle_incremental_r0.1,7,7,7,1.0
oracle_incremental_r0.1,8,4,4,1.0
oracle_incremental_r0.2,1,14,13,0.9285714285714286
oracle_incremental_r0.2,2,13,12,0.9230769230769231
oracle_incremental_r0.2,3,11,10,0.9090909090909091
oracle_incremental_r0.2,4,10,9,0.9
oracle_incremental_r0.2,5,9,8,0.8888888888888888
oracle_incremental_r0.2,6,8,8,1.0
oracle_incremental_r0.2,7,7,7,1.0
oracle_incremental_r0.2,8,4,4,1.0
