sample_id,dataset_name,method,input_length,rounds,generated_tokens,mean_accepted_length,full_acceptance_rate,zero_acceptance_rate,delta_vs_static,oracle_b_gain_recovery
2wikimqa-83,2wikimqa,oracle_incremental_r0.01,8192,2,16,7.5,0.5,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.02,8192,2,16,7.5,0.5,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.05,8192,2,16,7.5,0.5,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.1,8192,3,16,4.666666666666667,0.3333333333333333,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.2,8192,3,16,4.666666666666667,0.3333333333333333,0.0,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.01,8192,2,16,7.5,0.5,0.0,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.02,8192,2,16,7.5,0.5,0.0,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.05,8192,2,16,7.5,0.5,0.0,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.1,8192,2,16,7.5,0.5,0.0,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.2,8192,2,16,7.5,0.5,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.01,8192,2,16,7.5,0.5,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.02,8192,2,16,7.5,0.5,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.05,8192,2,16,7.5,0.5,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.1,8192,2,16,7.5,0.5,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.2,8192,2,16,7.5,0.5,0.0,,
musique-23,musique,oracle_incremental_r0.01,8192,2,16,7.5,0.5,0.0,,
musique-23,musique,oracle_incremental_r0.02,8192,2,16,7.5,0.5,0.0,,
musique-23,musique,oracle_incremental_r0.05,8192,2,16,7.5,0.5,0.0,,
musique-23,musique,oracle_incremental_r0.1,8192,2,16,7.5,0.5,0.0,,
musique-23,musique,oracle_incremental_r0.2,8192,2,16,7.5,0.5,0.0,,
qasper-178,qasper,oracle_incremental_r0.01,8192,4,16,3.25,0.0,0.0,,
qasper-178,qasper,oracle_incremental_r0.02,8192,4,16,3.25,0.0,0.0,,
qasper-178,qasper,oracle_incremental_r0.05,8192,4,16,3.25,0.0,0.0,,
qasper-178,qasper,oracle_incremental_r0.1,8192,4,16,3.25,0.0,0.0,,
qasper-178,qasper,oracle_incremental_r0.2,8192,5,16,2.4,0.0,0.2,,
